
层上的元器件/元素报告
	设计名称: C:\Users\Hj\Desktop\AFU工作文件\AA-02智能手环\SCH&PCB\AA-02_3.0\AA-02-POGO-PIN.pcb
 发现 过孔，位置:X=-8.68，Y=-17.18
 发现 过孔，位置:X=-9.81，Y=-17.16
 发现 过孔，位置:X=-8.79，Y=-15.28
 发现 过孔，位置:X=-39.23，Y=-12.45
 发现 过孔，位置:X=-24.03，Y=-12.74
 发现 过孔，位置:X=-12.75，Y=-8.91
 发现 过孔，位置:X=-11.91，Y=-8.09
 发现 过孔，位置:X=-9.06，Y=-8.02
 发现 过孔，位置:X=-9.81，Y=-8.03
 发现 过孔，位置:X=-9.9，Y=-8.93
 发现 过孔，位置:X=-10.54，Y=-8.93
 发现 过孔，位置:X=-11.28，Y=-8.91
 发现 过孔，位置:X=-12.06，Y=-8.93
 发现 过孔，位置:X=-3.71，Y=-10.2
 发现 过孔，位置:X=-6.25，Y=-10.2
 发现 过孔，位置:X=-6.25，Y=-12.74
 发现 过孔，位置:X=-9.83，Y=-7.32
 发现 过孔，位置:X=-9.05，Y=-7.3
 发现 过孔，位置:X=-9.08，Y=-6.56
 发现 过孔，位置:X=-9.83，Y=-6.56
 发现 过孔，位置:X=-11.68，Y=-6.57
 发现 过孔，位置:X=-25.38，Y=1.99
 发现 过孔，位置:X=-20.66，Y=6.83
 发现 过孔，位置:X=-21.57，Y=6.83
 发现 过孔，位置:X=-21.49，Y=5.04
 发现 过孔，位置:X=-8.79，Y=5.04
 发现 过孔，位置:X=-6.25，Y=5.04
 发现 过孔，位置:X=-6.25，Y=2.5
 发现 过孔，位置:X=-39.27，Y=10.12
 发现 过孔，位置:X=-41.81，Y=10.12
 发现 过孔，位置:X=-41.81，Y=7.58
 发现 过孔，位置:X=-34.19，Y=7.58
 发现 过孔，位置:X=-29.11，Y=7.58
 发现 过孔，位置:X=-24.03，Y=10.12
 发现 过孔，位置:X=-26.57，Y=10.12
 发现 过孔，位置:X=-21.49，Y=10.12
 发现 过孔，位置:X=-12.13，Y=8.39
 发现 过孔，位置:X=-12.16，Y=8.95
 发现 过孔，位置:X=-12.15，Y=9.44
 发现 过孔，位置:X=-12.67，Y=8.38
 发现 过孔，位置:X=-12.66，Y=8.95
 发现 过孔，位置:X=-12.68，Y=9.47
 发现 过孔，位置:X=-12.15，Y=10.01
 发现 过孔，位置:X=-12.7，Y=10.03
 发现 过孔，位置:X=-11，Y=8.37
 发现 过孔，位置:X=-11.57，Y=8.37
 发现 过孔，位置:X=-11.02，Y=8.92
 发现 过孔，位置:X=-11.58，Y=8.93
 发现 过孔，位置:X=-11.04，Y=9.45
 发现 过孔，位置:X=-11.59，Y=9.45
 发现 过孔，位置:X=-11.02，Y=10
 发现 过孔，位置:X=-11.61，Y=10
 发现 过孔，位置:X=-8.79，Y=10.12
 发现 过孔，位置:X=-6.25，Y=7.58
 发现 过孔，位置:X=-34.19，Y=15.2
 发现 过孔，位置:X=-34.19，Y=12.66
 发现 过孔，位置:X=-36.73，Y=12.66
 发现 过孔，位置:X=-31.65，Y=12.66
 发现 过孔，位置:X=-24.03，Y=15.2
 发现 过孔，位置:X=-24.03，Y=12.66
 发现 过孔，位置:X=-26.57，Y=15.2
 发现 过孔，位置:X=-26.57，Y=12.66
 发现 过孔，位置:X=-18.95，Y=15.2
 发现 过孔，位置:X=-21.49，Y=15.2
 发现 过孔，位置:X=-21.49，Y=12.66
 发现 过孔，位置:X=-13.87，Y=12.66
 发现 过孔，位置:X=-16.41，Y=15.2
 发现 过孔，位置:X=-24.03，Y=17.74
 发现 过孔，位置:X=-26.57，Y=17.74
 发现 过孔，位置:X=-21.49，Y=17.74
 发现 导线，名称 = GND41.1-GND20.1，位置:X=-21.57，Y=6.83

	 检查层 3！
 发现 过孔，位置:X=-17.09，Y=-24.27
 发现 过孔，位置:X=-17.07，Y=-23.37
 发现 过孔，位置:X=-19.07，Y=-21.77
 发现 过孔，位置:X=-17.08，Y=-22.44
 发现 过孔，位置:X=-17.1，Y=-21.39
 发现 过孔，位置:X=-17.09，Y=-20.36
 发现 过孔，位置:X=-17.07，Y=-19.19
 发现 过孔，位置:X=-17.03，Y=-18.13
 发现 过孔，位置:X=-38.05，Y=-13.61
 发现 过孔，位置:X=-38.63，Y=-13.61
 发现 过孔，位置:X=-38.04，Y=-13.04
 发现 过孔，位置:X=-38.63，Y=-13.03
 发现 过孔，位置:X=-39.24，Y=-13.61
 发现 过孔，位置:X=-39.23，Y=-13.04
 发现 过孔，位置:X=-38.05，Y=-14.33
 发现 过孔，位置:X=-38.63，Y=-14.33
 发现 过孔，位置:X=-39.27，Y=-15.28
 发现 过孔，位置:X=-31.65，Y=-15.28
 发现 过孔，位置:X=-17.24，Y=-17.07
 发现 过孔，位置:X=-16.29，Y=-17.09
 发现 过孔，位置:X=-14.88，Y=-17.1
 发现 过孔，位置:X=-13.76，Y=-17.1
 发现 过孔，位置:X=-12.53，Y=-17.1
 发现 过孔，位置:X=-7.41，Y=-17.18
 发现 过孔，位置:X=-8.68，Y=-17.18
 发现 过孔，位置:X=-9.81，Y=-17.16
 发现 过孔，位置:X=-8.79，Y=-15.28
 发现 过孔，位置:X=-39.23，Y=-12.45
 发现 过孔，位置:X=-24.03，Y=-12.74
 发现 过孔，位置:X=-12.75，Y=-8.91
 发现 过孔，位置:X=-11.91，Y=-8.09
 发现 过孔，位置:X=-9.06，Y=-8.02
 发现 过孔，位置:X=-9.81，Y=-8.03
 发现 过孔，位置:X=-9.9，Y=-8.93
 发现 过孔，位置:X=-10.54，Y=-8.93
 发现 过孔，位置:X=-11.28，Y=-8.91
 发现 过孔，位置:X=-12.06，Y=-8.93
 发现 过孔，位置:X=-3.71，Y=-10.2
 发现 过孔，位置:X=-6.25，Y=-10.2
 发现 过孔，位置:X=-6.25，Y=-12.74
 发现 过孔，位置:X=-9.83，Y=-7.32
 发现 过孔，位置:X=-9.05，Y=-7.3
 发现 过孔，位置:X=-9.08，Y=-6.56
 发现 过孔，位置:X=-9.83，Y=-6.56
 发现 过孔，位置:X=-11.68，Y=-6.57
 发现 过孔，位置:X=-25.38，Y=1.99
 发现 过孔，位置:X=-20.66，Y=6.83
 发现 过孔，位置:X=-21.57，Y=6.83
 发现 过孔，位置:X=-21.49，Y=5.04
 发现 过孔，位置:X=-8.79，Y=5.04
 发现 过孔，位置:X=-6.25，Y=5.04
 发现 过孔，位置:X=-6.25，Y=2.5
 发现 过孔，位置:X=-39.27，Y=10.12
 发现 过孔，位置:X=-41.81，Y=10.12
 发现 过孔，位置:X=-41.81，Y=7.58
 发现 过孔，位置:X=-34.19，Y=7.58
 发现 过孔，位置:X=-29.11，Y=7.58
 发现 过孔，位置:X=-24.03，Y=10.12
 发现 过孔，位置:X=-26.57，Y=10.12
 发现 过孔，位置:X=-21.49，Y=10.12
 发现 过孔，位置:X=-12.13，Y=8.39
 发现 过孔，位置:X=-12.16，Y=8.95
 发现 过孔，位置:X=-12.15，Y=9.44
 发现 过孔，位置:X=-12.67，Y=8.38
 发现 过孔，位置:X=-12.66，Y=8.95
 发现 过孔，位置:X=-12.68，Y=9.47
 发现 过孔，位置:X=-12.15，Y=10.01
 发现 过孔，位置:X=-12.7，Y=10.03
 发现 过孔，位置:X=-11，Y=8.37
 发现 过孔，位置:X=-11.57，Y=8.37
 发现 过孔，位置:X=-11.02，Y=8.92
 发现 过孔，位置:X=-11.58，Y=8.93
 发现 过孔，位置:X=-11.04，Y=9.45
 发现 过孔，位置:X=-11.59，Y=9.45
 发现 过孔，位置:X=-11.02，Y=10
 发现 过孔，位置:X=-11.61，Y=10
 发现 过孔，位置:X=-8.79，Y=10.12
 发现 过孔，位置:X=-6.25，Y=7.58
 发现 过孔，位置:X=-34.19，Y=15.2
 发现 过孔，位置:X=-34.19，Y=12.66
 发现 过孔，位置:X=-36.73，Y=12.66
 发现 过孔，位置:X=-31.65，Y=12.66
 发现 过孔，位置:X=-24.03，Y=15.2
 发现 过孔，位置:X=-24.03，Y=12.66
 发现 过孔，位置:X=-26.57，Y=15.2
 发现 过孔，位置:X=-26.57，Y=12.66
 发现 过孔，位置:X=-18.95，Y=15.2
 发现 过孔，位置:X=-21.49，Y=15.2
 发现 过孔，位置:X=-21.49，Y=12.66
 发现 过孔，位置:X=-13.87，Y=12.66
 发现 过孔，位置:X=-16.41，Y=15.2
 发现 过孔，位置:X=-24.03，Y=17.74
 发现 过孔，位置:X=-26.57，Y=17.74
 发现 过孔，位置:X=-21.49，Y=17.74
 发现 覆铜，名称 = POR65272832，位置:X=-52.61，Y=19.89

	 检查层 4！
 发现 过孔，位置:X=-17.09，Y=-24.27
 发现 过孔，位置:X=-17.07，Y=-23.37
 发现 过孔，位置:X=-19.07，Y=-21.77
 发现 过孔，位置:X=-17.08，Y=-22.44
 发现 过孔，位置:X=-17.1，Y=-21.39
 发现 过孔，位置:X=-17.09，Y=-20.36
 发现 过孔，位置:X=-17.07，Y=-19.19
 发现 过孔，位置:X=-17.03，Y=-18.13
 发现 过孔，位置:X=-38.05，Y=-13.61
 发现 过孔，位置:X=-38.63，Y=-13.61
 发现 过孔，位置:X=-38.04，Y=-13.04
 发现 过孔，位置:X=-38.63，Y=-13.03
 发现 过孔，位置:X=-39.24，Y=-13.61
 发现 过孔，位置:X=-39.23，Y=-13.04
 发现 过孔，位置:X=-38.05，Y=-14.33
 发现 过孔，位置:X=-38.63，Y=-14.33
 发现 过孔，位置:X=-39.27，Y=-15.28
 发现 过孔，位置:X=-31.65，Y=-15.28
 发现 过孔，位置:X=-17.24，Y=-17.07
 发现 过孔，位置:X=-16.29，Y=-17.09
 发现 过孔，位置:X=-14.88，Y=-17.1
 发现 过孔，位置:X=-13.76，Y=-17.1
 发现 过孔，位置:X=-12.53，Y=-17.1
 发现 过孔，位置:X=-7.41，Y=-17.18
 发现 过孔，位置:X=-8.68，Y=-17.18
 发现 过孔，位置:X=-9.81，Y=-17.16
 发现 过孔，位置:X=-8.79，Y=-15.28
 发现 过孔，位置:X=-39.23，Y=-12.45
 发现 过孔，位置:X=-24.03，Y=-12.74
 发现 过孔，位置:X=-12.75，Y=-8.91
 发现 过孔，位置:X=-11.91，Y=-8.09
 发现 过孔，位置:X=-9.06，Y=-8.02
 发现 过孔，位置:X=-9.81，Y=-8.03
 发现 过孔，位置:X=-9.9，Y=-8.93
 发现 过孔，位置:X=-10.54，Y=-8.93
 发现 过孔，位置:X=-11.28，Y=-8.91
 发现 过孔，位置:X=-12.06，Y=-8.93
 发现 过孔，位置:X=-3.71，Y=-10.2
 发现 过孔，位置:X=-6.25，Y=-10.2
 发现 过孔，位置:X=-6.25，Y=-12.74
 发现 过孔，位置:X=-9.83，Y=-7.32
 发现 过孔，位置:X=-9.05，Y=-7.3
 发现 过孔，位置:X=-9.08，Y=-6.56
 发现 过孔，位置:X=-9.83，Y=-6.56
 发现 过孔，位置:X=-11.68，Y=-6.57
 发现 过孔，位置:X=-25.38，Y=1.99
 发现 过孔，位置:X=-20.66，Y=6.83
 发现 过孔，位置:X=-21.57，Y=6.83
 发现 过孔，位置:X=-21.49，Y=5.04
 发现 过孔，位置:X=-8.79，Y=5.04
 发现 过孔，位置:X=-6.25，Y=5.04
 发现 过孔，位置:X=-6.25，Y=2.5
 发现 过孔，位置:X=-39.27，Y=10.12
 发现 过孔，位置:X=-41.81，Y=10.12
 发现 过孔，位置:X=-41.81，Y=7.58
 发现 过孔，位置:X=-34.19，Y=7.58
 发现 过孔，位置:X=-29.11，Y=7.58
 发现 过孔，位置:X=-24.03，Y=10.12
 发现 过孔，位置:X=-26.57，Y=10.12
 发现 过孔，位置:X=-21.49，Y=10.12
 发现 过孔，位置:X=-12.13，Y=8.39
 发现 过孔，位置:X=-12.16，Y=8.95
 发现 过孔，位置:X=-12.15，Y=9.44
 发现 过孔，位置:X=-12.67，Y=8.38
 发现 过孔，位置:X=-12.66，Y=8.95
 发现 过孔，位置:X=-12.68，Y=9.47
 发现 过孔，位置:X=-12.15，Y=10.01
 发现 过孔，位置:X=-12.7，Y=10.03
 发现 过孔，位置:X=-11，Y=8.37
 发现 过孔，位置:X=-11.57，Y=8.37
 发现 过孔，位置:X=-11.02，Y=8.92
 发现 过孔，位置:X=-11.58，Y=8.93
 发现 过孔，位置:X=-11.04，Y=9.45
 发现 过孔，位置:X=-11.59，Y=9.45
 发现 过孔，位置:X=-11.02，Y=10
 发现 过孔，位置:X=-11.61，Y=10
 发现 过孔，位置:X=-8.79，Y=10.12
 发现 过孔，位置:X=-6.25，Y=7.58
 发现 过孔，位置:X=-34.19，Y=15.2
 发现 过孔，位置:X=-34.19，Y=12.66
 发现 过孔，位置:X=-36.73，Y=12.66
 发现 过孔，位置:X=-31.65，Y=12.66
 发现 过孔，位置:X=-24.03，Y=15.2
 发现 过孔，位置:X=-24.03，Y=12.66
 发现 过孔，位置:X=-26.57，Y=15.2
 发现 过孔，位置:X=-26.57，Y=12.66
 发现 过孔，位置:X=-18.95，Y=15.2
 发现 过孔，位置:X=-21.49，Y=15.2
 发现 过孔，位置:X=-21.49，Y=12.66
 发现 过孔，位置:X=-13.87，Y=12.66
 发现 过孔，位置:X=-16.41，Y=15.2
 发现 过孔，位置:X=-24.03，Y=17.74
 发现 过孔，位置:X=-26.57，Y=17.74
 发现 过孔，位置:X=-21.49，Y=17.74
 发现 导线，名称 = GND12.1-GND41.1，位置:X=-19.07，Y=-21.77
 发现 导线，名称 = GND12.1-GND41.1，位置:X=-19.07，Y=-21.77
 发现 导线，名称 = GND23.1-GND41.1，位置:X=-30.7，Y=1.95
 发现 导线，名称 = GND23.1-GND41.1，位置:X=-25.38，Y=1.99
